Rk,Team,Playoffs,AvAge,GP,GF,GA,SOW,SOL,SRS,SOS,GoalsperGame,EVGF,EVGA,PP,PPO,Pppercent,PPA,PPOA,Pkpercent,SH,SHA,PIMperG,oPIMperG,S,Sper,SA,Svper,SO,W,L,OL,PTS,PTSper
7,Edmonton Oilers*,1,26.7,82,243,207,4,5,0.37,-0.06,5.49,183,159,56,245,22.86,43,223,80.72,4,5,9,9.5,2547,9.5,2416,0.914,7,47,26,9,103,0.628
8,Montreal Canadiens*,1,28.8,82,223,198,3,2,0.31,-0.01,5.13,173,145,45,230,19.57,47,249,81.12,5,6,9.3,7.9,2459,9.1,2429,0.918,5,47,26,9,103,0.628
9,New York Rangers*,1,28.3,82,253,216,3,4,0.47,0.03,5.72,197,166,47,232,20.26,45,224,79.91,9,5,7.2,8.3,2438,10.4,2465,0.912,7,48,28,6,102,0.622
10,St. Louis Blues*,1,28,82,233,216,2,2,0.17,-0.04,5.48,180,171,50,235,21.28,40,263,84.79,3,5,9,8.4,2330,10,2327,0.907,8,46,29,7,99,0.604
11,San Jose Sharks*,1,29.6,82,219,200,2,1,0.21,-0.03,5.11,171,153,41,246,16.67,41,212,80.66,7,6,7.8,8.5,2453,8.9,2269,0.912,3,46,29,7,99,0.604
12,Ottawa Senators*,1,28.8,82,206,210,6,4,-0.01,0.01,5.07,156,157,43,254,16.93,50,247,79.76,7,3,10.3,10.5,2463,8.4,2467,0.915,10,44,28,10,98,0.598
13,Boston Bruins*,1,28.8,82,232,209,2,3,0.27,0,5.38,169,165,53,244,21.72,38,266,85.71,10,6,10.1,9.8,2721,8.5,2194,0.905,8,44,31,7,95,0.579
14,Toronto Maple Leafs*,1,26.2,82,250,234,1,8,0.11,0,5.9,186,183,57,244,23.36,44,251,82.47,6,7,9.7,10,2617,9.6,2673,0.912,5,40,27,15,95,0.579
15,New York Islanders,2,28.4,82,239,238,2,4,0.03,0.05,5.82,199,190,35,234,14.96,40,227,82.38,5,7,7.9,7.9,2480,9.6,2616,0.909,5,41,29,12,94,0.573
16,Nashville Predators*,1,27.9,82,238,220,2,4,0.16,-0.04,5.59,177,168,49,259,18.92,46,241,80.91,12,6,10.2,10.7,2557,9.3,2472,0.911,4,41,29,12,94,0.573
17,Tampa Bay Lightning,2,26.8,82,230,224,4,3,0.09,0.01,5.54,164,168,62,272,22.79,48,258,81.4,4,8,10.7,11.4,2452,9.4,2492,0.91,3,42,30,10,94,0.573
18,Calgary Flames*,1,28.3,82,222,219,4,2,0.02,-0.04,5.38,162,163,52,258,20.16,51,277,81.59,8,5,11.7,10.7,2388,9.3,2354,0.907,5,45,33,4,94,0.573
19,Philadelphia Flyers,2,27.6,82,212,231,7,5,-0.17,0.04,5.4,154,172,54,277,19.49,50,247,79.76,4,9,10.3,11.1,2585,8.2,2334,0.901,5,39,33,10,88,0.537
20,Carolina Hurricanes,2,26.8,82,212,230,3,6,-0.21,0.05,5.39,161,192,41,231,17.75,32,202,84.16,10,6,5.8,6.6,2493,8.5,2320,0.901,3,36,31,15,87,0.53
21,Winnipeg Jets,2,26.1,82,246,255,3,1,-0.11,-0.03,6.11,188,184,48,264,18.18,62,275,77.45,10,9,10.2,9.7,2448,10,2546,0.9,5,40,35,7,87,0.53
22,Los Angeles Kings,2,29.1,82,199,201,2,4,-0.07,-0.02,4.88,148,160,46,241,19.09,38,245,84.49,5,3,9.2,9.3,2553,7.8,2120,0.905,9,39,35,8,86,0.524
23,Florida Panthers,2,28.6,82,205,231,5,6,-0.3,0.03,5.32,152,187,45,265,16.98,36,245,85.31,8,8,9.9,9.9,2644,7.8,2595,0.911,4,35,36,11,81,0.494
24,Detroit Red Wings,2,28.4,82,198,244,9,0,-0.41,0.04,5.39,157,190,38,252,15.08,45,235,80.85,3,9,8.8,9.2,2335,8.5,2507,0.903,4,33,36,13,79,0.482
25,Dallas Stars,2,28.5,82,222,260,1,2,-0.48,-0.01,5.88,171,184,46,257,17.9,65,249,73.9,5,11,9.9,9.8,2505,8.9,2439,0.893,3,34,37,11,79,0.482
26,Buffalo Sabres,2,26.4,82,199,231,2,6,-0.41,0.03,5.24,139,174,57,233,24.46,53,237,77.64,3,4,9,8.6,2491,8,2813,0.918,3,33,37,12,78,0.476
27,New Jersey Devils,2,28.1,82,180,241,3,3,-0.67,0.08,5.13,130,176,44,251,17.53,53,261,79.69,6,12,10,9.7,2279,7.9,2572,0.906,3,28,40,14,70,0.427
28,Arizona Coyotes,2,27.3,82,191,258,6,2,-0.76,0.01,5.48,145,192,38,235,16.17,59,260,77.31,8,7,9.9,8.6,2281,8.4,2797,0.908,3,30,42,10,70,0.427
29,Vancouver Canucks,2,28.8,82,178,241,4,2,-0.73,0.01,5.11,144,183,32,227,14.1,52,223,76.68,2,6,7.9,7.9,2273,7.8,2605,0.907,3,30,43,9,69,0.421
30,Colorado Avalanche,2,27.6,82,165,276,1,2,-1.32,0.05,5.38,130,210,30,239,12.55,64,274,76.64,5,2,9.4,8.2,2303,7.2,2603,0.894,3,22,56,4,48,0.293
